"LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","MasVnrArea","TotalBsmtSF","1stFlrSF","2ndFlrSF","LowQualFinSF","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","Fireplaces","GarageCars","PoolArea","SalePrice"
141,31770,6,5,1960,112,1080,1656,0,0,1,0,1,0,3,1,2,2,0,215000
80,11622,5,6,1961,0,882,896,0,0,0,0,1,0,2,1,0,1,0,105000
81,14267,6,6,1958,108,1329,1329,0,0,0,0,1,1,3,1,0,1,0,172000
93,11160,7,5,1968,0,2110,2110,0,0,1,0,2,1,3,1,2,2,0,244000
74,13830,5,5,1997,0,928,928,701,0,0,0,2,1,3,1,1,2,0,189900
78,9978,6,6,1998,20,926,926,678,0,0,0,2,1,3,1,1,2,0,195500
41,4920,8,5,2001,0,1338,1338,0,0,1,0,2,0,2,1,0,2,0,213500
43,5005,8,5,1992,0,1280,1280,0,0,0,0,2,0,2,1,0,2,0,191500
39,5389,8,5,1995,0,1595,1616,0,0,1,0,2,0,2,1,1,2,0,236500
60,7500,7,5,1999,0,994,1028,776,0,0,0,2,1,3,1,1,2,0,189000
75,10000,6,5,1993,0,763,763,892,0,0,0,2,1,3,1,1,2,0,175900
,7980,6,7,1992,0,1168,1187,0,0,1,0,2,0,3,1,0,2,0,185000
63,8402,6,5,1998,0,789,789,676,0,0,0,2,1,3,1,1,2,0,180400
85,10176,7,5,1990,0,1300,1341,0,0,1,0,1,1,2,1,1,2,0,171500
,6820,8,5,1985,0,1488,1502,0,0,1,0,1,1,1,1,0,2,0,212000
47,53504,8,5,2003,603,1650,1690,1589,0,1,0,3,1,4,1,1,3,0,538000
152,12134,8,7,1988,0,559,1080,672,0,0,0,2,0,4,1,0,2,0,164000
88,11394,9,2,2010,350,1856,1856,0,0,1,0,1,1,1,1,1,3,0,394432
140,19138,4,5,1951,0,864,864,0,0,0,0,1,0,2,1,0,2,0,141000
85,13175,6,6,1978,119,1542,2073,0,0,1,0,2,0,3,1,2,2,0,210000
105,11751,6,6,1977,480,1844,1844,0,0,0,0,2,0,3,1,1,2,0,190000
85,10625,7,6,1974,81,1053,1173,0,0,1,0,2,0,3,1,2,2,0,170000
,7500,7,5,2000,0,814,814,860,0,1,0,2,1,3,1,0,2,0,216000
,11241,6,7,1970,180,1004,1004,0,0,1,0,1,0,2,1,1,2,0,149000
,12537,5,6,1971,0,1078,1078,0,0,1,0,1,1,3,1,1,2,0,149900
65,8450,5,6,1968,0,1056,1056,0,0,1,0,1,0,3,1,1,1,0,142000
70,8400,4,5,1970,0,882,882,0,0,1,0,1,0,2,1,0,2,0,126000
70,10500,4,5,1971,0,864,864,0,0,0,0,1,0,3,1,1,0,0,115000
26,5858,7,5,1999,0,1405,1337,0,0,1,0,2,0,2,1,1,2,0,184000
21,1680,6,5,1971,504,483,483,504,0,0,0,1,1,2,1,0,1,0,96000
21,1680,5,5,1971,492,525,525,567,0,0,0,1,1,3,1,0,1,0,105500
21,1680,6,5,1971,381,525,525,567,0,0,0,1,1,3,1,0,1,0,88000
53,4043,6,5,1977,0,1069,1069,0,0,0,0,2,0,2,1,1,2,0,127500
