"","mpg","cylinders","displacement","horsepower","weight","acceleration","model year","origin"
"1",18,"8",307,130,3504,12,"70","1"
"2",15,"8",350,165,3693,11.5,"70","1"
"3",18,"8",318,150,3436,11,"70","1"
"4",16,"8",304,150,3433,12,"70","1"
"5",17,"8",302,140,3449,10.5,"70","1"
"6",15,"8",429,198,4341,10,"70","1"
"7",14,"8",454,220,4354,9,"70","1"
"8",14,"8",440,215,4312,8.5,"70","1"
"9",14,"8",455,225,4425,10,"70","1"
"10",15,"8",390,190,3850,8.5,"70","1"
"11",15,"8",383,170,3563,10,"70","1"
"12",14,"8",340,160,3609,8,"70","1"
"13",15,"8",400,150,3761,9.5,"70","1"
"14",14,"8",455,225,3086,10,"70","1"
"15",24,"4",113,95,2372,15,"70","3"
"16",22,"6",198,95,2833,15.5,"70","1"
"17",18,"6",199,97,2774,15.5,"70","1"
"18",21,"6",200,85,2587,16,"70","1"
"19",27,"4",97,88,2130,14.5,"70","3"
"20",26,"4",97,46,1835,20.5,"70","2"
"21",25,"4",110,87,2672,17.5,"70","2"
"22",24,"4",107,90,2430,14.5,"70","2"
"23",25,"4",104,95,2375,17.5,"70","2"
"24",26,"4",121,113,2234,12.5,"70","2"
"25",21,"6",199,90,2648,15,"70","1"
"26",10,"8",360,215,4615,14,"70","1"
"27",10,"8",307,200,4376,15,"70","1"
"28",11,"8",318,210,4382,13.5,"70","1"
"29",9,"8",304,193,4732,18.5,"70","1"
"30",27,"4",97,88,2130,14.5,"71","3"
"31",28,"4",140,90,2264,15.5,"71","1"
"32",25,"4",113,95,2228,14,"71","3"
"33",25,"4",98,104.469387755102,2046,19,"71","1"
"34",19,"6",232,100,2634,13,"71","1"
"35",16,"6",225,105,3439,15.5,"71","1"
"36",17,"6",250,100,3329,15.5,"71","1"
"37",19,"6",250,88,3302,15.5,"71","1"
"38",18,"6",232,100,3288,15.5,"71","1"
"39",14,"8",350,165,4209,12,"71","1"
"40",14,"8",400,175,4464,11.5,"71","1"
"41",14,"8",351,153,4154,13.5,"71","1"
"42",14,"8",318,150,4096,13,"71","1"
"43",12,"8",383,180,4955,11.5,"71","1"
"44",13,"8",400,170,4746,12,"71","1"
"45",13,"8",400,175,5140,12,"71","1"
"46",18,"6",258,110,2962,13.5,"71","1"
"47",22,"4",140,72,2408,19,"71","1"
"48",19,"6",250,100,3282,15,"71","1"
"49",18,"6",250,88,3139,14.5,"71","1"
"50",23,"4",122,86,2220,14,"71","1"
"51",28,"4",116,90,2123,14,"71","2"
"52",30,"4",79,70,2074,19.5,"71","2"
"53",30,"4",88,76,2065,14.5,"71","2"
"54",31,"4",71,65,1773,19,"71","3"
"55",35,"4",72,69,1613,18,"71","3"
"56",27,"4",97,60,1834,19,"71","2"
"57",26,"4",91,70,1955,20.5,"71","1"
"58",24,"4",113,95,2278,15.5,"72","3"
"59",25,"4",97.5,80,2126,17,"72","1"
"60",23,"4",97,54,2254,23.5,"72","2"
"61",20,"4",140,90,2408,19.5,"72","1"
"62",21,"4",122,86,2226,16.5,"72","1"
"63",13,"8",350,165,4274,12,"72","1"
"64",14,"8",400,175,4385,12,"72","1"
"65",15,"8",318,150,4135,13.5,"72","1"
"66",14,"8",351,153,4129,13,"72","1"
"67",17,"8",304,150,3672,11.5,"72","1"
"68",11,"8",429,208,4633,11,"72","1"
"69",13,"8",350,155,4502,13.5,"72","1"
"70",12,"8",350,160,4456,13.5,"72","1"
"71",13,"8",400,190,4422,12.5,"72","1"
"72",19,"3",70,97,2330,13.5,"72","3"
"73",15,"8",304,150,3892,12.5,"72","1"
"74",13,"8",307,130,4098,14,"72","1"
"75",13,"8",302,140,4294,16,"72","1"
"76",14,"8",318,150,4077,14,"72","1"
"77",18,"4",121,112,2933,14.5,"72","2"
"78",22,"4",121,76,2511,18,"72","2"
"79",21,"4",120,87,2979,19.5,"72","2"
"80",26,"4",96,69,2189,18,"72","2"
"81",22,"4",122,86,2395,16,"72","1"
"82",28,"4",97,92,2288,17,"72","3"
"83",23,"4",120,97,2506,14.5,"72","3"
"84",28,"4",98,80,2164,15,"72","1"
"85",27,"4",97,88,2100,16.5,"72","3"
"86",13,"8",350,175,4100,13,"73","1"
"87",14,"8",304,150,3672,11.5,"73","1"
"88",13,"8",350,145,3988,13,"73","1"
"89",14,"8",302,137,4042,14.5,"73","1"
"90",15,"8",318,150,3777,12.5,"73","1"
"91",12,"8",429,198,4952,11.5,"73","1"
"92",13,"8",400,150,4464,12,"73","1"
"93",13,"8",351,158,4363,13,"73","1"
"94",14,"8",318,150,4237,14.5,"73","1"
"95",13,"8",440,215,4735,11,"73","1"
"96",12,"8",455,225,4951,11,"73","1"
"97",13,"8",360,175,3821,11,"73","1"
"98",18,"6",225,105,3121,16.5,"73","1"
"99",16,"6",250,100,3278,18,"73","1"
"100",18,"6",232,100,2945,16,"73","1"
"101",18,"6",250,88,3021,16.5,"73","1"
"102",23,"6",198,95,2904,16,"73","1"
"103",26,"4",97,46,1950,21,"73","2"
"104",11,"8",400,150,4997,14,"73","1"
"105",12,"8",400,167,4906,12.5,"73","1"
"106",13,"8",360,170,4654,13,"73","1"
"107",12,"8",350,180,4499,12.5,"73","1"
"108",18,"6",232,100,2789,15,"73","1"
"109",20,"4",97,88,2279,19,"73","3"
"110",21,"4",140,72,2401,19.5,"73","1"
"111",22,"4",108,94,2379,16.5,"73","3"
"112",18,"3",70,90,2124,13.5,"73","3"
"113",19,"4",122,85,2310,18.5,"73","1"
"114",21,"6",155,107,2472,14,"73","1"
"115",26,"4",98,90,2265,15.5,"73","2"
"116",15,"8",350,145,4082,13,"73","1"
"117",16,"8",400,230,4278,9.5,"73","1"
"118",29,"4",68,49,1867,19.5,"73","2"
"119",24,"4",116,75,2158,15.5,"73","2"
"120",20,"4",114,91,2582,14,"73","2"
"121",19,"4",121,112,2868,15.5,"73","2"
"122",15,"8",318,150,3399,11,"73","1"
"123",24,"4",121,110,2660,14,"73","2"
"124",20,"6",156,122,2807,13.5,"73","3"
"125",11,"8",350,180,3664,11,"73","1"
"126",20,"6",198,95,3102,16.5,"74","1"
"127",21,"6",200,104.469387755102,2875,17,"74","1"
"128",19,"6",232,100,2901,16,"74","1"
"129",15,"6",250,100,3336,17,"74","1"
"130",31,"4",79,67,1950,19,"74","3"
"131",26,"4",122,80,2451,16.5,"74","1"
"132",32,"4",71,65,1836,21,"74","3"
"133",25,"4",140,75,2542,17,"74","1"
"134",16,"6",250,100,3781,17,"74","1"
"135",16,"6",258,110,3632,18,"74","1"
"136",18,"6",225,105,3613,16.5,"74","1"
"137",16,"8",302,140,4141,14,"74","1"
"138",13,"8",350,150,4699,14.5,"74","1"
"139",14,"8",318,150,4457,13.5,"74","1"
"140",14,"8",302,140,4638,16,"74","1"
"141",14,"8",304,150,4257,15.5,"74","1"
"142",29,"4",98,83,2219,16.5,"74","2"
