"C_ARINSEE";"L_AR";"SURFACE";"PERIMETRE";"OBJECTID";"LONGUEUR"
75102;"2ème Ardt";991153.74474596;4554.10435957;2;4553.93876373
75103;"3ème Ardt";1170882.82818778;4519.26364836;3;4519.07198175
75112;"12ème Ardt";16314782.6372674;24089.6662978;12;24088.03892205
75101;"1er Ardt";1824612.86048666;6054.93686218;1;6054.68086176
75104;"4ème Ardt";1600585.63150251;5420.90843368;4;5420.63677909
75108;"8ème Ardt";3880036.39704363;7880.53326819;8;7880.26066073
75114;"14ème Ardt";5614877.30907921;10317.4833099;14;10316.72025836
75119;"19ème Ardt";6792651.12902648;11253.1824786;19;11252.94322851
75120;"20ème Ardt";5983446.03718297;10704.9404863;20;10704.48377412
75106;"6ème Ardt";2153095.58639283;6483.68678565;6;6483.32455954
75109;"9ème Ardt";2178303.27487137;6471.5882901;9;6471.38914439
75117;"17ème Ardt";5668834.50445393;10775.579516;17;10775.34891467
75115;"15ème Ardt";8494994.08101075;13678.7983149;15;13677.92366106
75105;"5ème Ardt";2539374.62284532;6239.19539614;5;6238.8234077
75107;"7ème Ardt";4090057.18546976;8099.42488348;7;8099.03315106
75110;"10ème Ardt";2891739.44162064;6739.37505466;10;6739.16835945
75111;"11ème Ardt";3665441.55248808;8282.01188584;11;8281.63528771
75113;"13ème Ardt";7149311.09107136;11546.5465264;13;11545.68698553
75116;"16ème Ardt";16372542.1289739;17416.1096565;16;17415.32672605
75118;"18ème Ardt";5996051.30811905;9916.46417634;18;9916.30382695
