InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
541431,23166,MEDIUM CERAMIC TOP STORAGE JAR,74215,1/18/11 10:01,1.04,12346,United Kingdom
C541433,23166,MEDIUM CERAMIC TOP STORAGE JAR,-74215,1/18/11 10:17,1.04,12346,United Kingdom
537626,85116,BLACK CANDELABRA T-LIGHT HOLDER,12,12/7/10 14:57,2.1,12347,Iceland
537626,22375,AIRLINE BAG VINTAGE JET SET BROWN,4,12/7/10 14:57,4.25,12347,Iceland
537626,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,12,12/7/10 14:57,3.25,12347,Iceland
537626,22492,MINI PAINT SET VINTAGE ,36,12/7/10 14:57,0.65,12347,Iceland
537626,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,12/7/10 14:57,1.25,12347,Iceland
537626,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,12/7/10 14:57,1.25,12347,Iceland
537626,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,12/7/10 14:57,1.25,12347,Iceland
537626,22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,12,12/7/10 14:57,1.25,12347,Iceland
537626,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,12,12/7/10 14:57,1.25,12347,Iceland
537626,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,12,12/7/10 14:57,1.25,12347,Iceland
537626,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,12/7/10 14:57,3.75,12347,Iceland
537626,22726,ALARM CLOCK BAKELIKE GREEN,4,12/7/10 14:57,3.75,12347,Iceland
537626,22727,ALARM CLOCK BAKELIKE RED ,4,12/7/10 14:57,3.75,12347,Iceland
537626,22728,ALARM CLOCK BAKELIKE PINK,4,12/7/10 14:57,3.75,12347,Iceland
537626,22729,ALARM CLOCK BAKELIKE ORANGE,4,12/7/10 14:57,3.75,12347,Iceland
537626,22212,FOUR HOOK  WHITE LOVEBIRDS,6,12/7/10 14:57,2.1,12347,Iceland
537626,85167B,BLACK GRAND BAROQUE PHOTO FRAME,30,12/7/10 14:57,1.25,12347,Iceland
537626,21171,BATHROOM METAL SIGN ,12,12/7/10 14:57,1.45,12347,Iceland
537626,22195,LARGE HEART MEASURING SPOONS,12,12/7/10 14:57,1.65,12347,Iceland
537626,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12/7/10 14:57,4.25,12347,Iceland
537626,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,12/7/10 14:57,3.75,12347,Iceland
537626,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,6,12/7/10 14:57,3.75,12347,Iceland
537626,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,6,12/7/10 14:57,3.75,12347,Iceland
537626,22494,EMERGENCY FIRST AID TIN ,12,12/7/10 14:57,1.25,12347,Iceland
537626,22497,SET OF 2 TINS VINTAGE BATHROOM ,4,12/7/10 14:57,4.25,12347,Iceland
537626,85232D,SET/3 DECOUPAGE STACKING TINS,3,12/7/10 14:57,4.95,12347,Iceland
537626,21064,BOOM BOX SPEAKER BOYS,6,12/7/10 14:57,5.95,12347,Iceland
537626,21731,RED TOADSTOOL LED NIGHT LIGHT,12,12/7/10 14:57,1.65,12347,Iceland
537626,84558A,3D DOG PICTURE PLAYING CARDS,24,12/7/10 14:57,2.95,12347,Iceland
537626,20780,BLACK EAR MUFF HEADPHONES,12,12/7/10 14:57,4.65,12347,Iceland
537626,20782,CAMOUFLAGE EAR MUFF HEADPHONES,6,12/7/10 14:57,5.49,12347,Iceland
542237,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,24,1/26/11 14:30,0.85,12347,Iceland
542237,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,24,1/26/11 14:30,0.85,12347,Iceland
542237,85116,BLACK CANDELABRA T-LIGHT HOLDER,6,1/26/11 14:30,2.1,12347,Iceland
542237,20719,WOODLAND CHARLOTTE BAG,10,1/26/11 14:30,0.85,12347,Iceland
542237,22375,AIRLINE BAG VINTAGE JET SET BROWN,4,1/26/11 14:30,4.25,12347,Iceland
