"age","Medu","Fedu","traveltime","studytime","failures","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
18,4,4,2,2,0,4,3,4,1,1,3,6,5,6,6
17,1,1,1,2,0,5,3,3,1,1,3,4,5,5,6
15,1,1,1,2,3,4,3,2,2,3,3,10,7,8,10
15,4,2,1,3,0,3,2,2,1,1,5,2,15,14,15
16,3,3,1,2,0,4,3,2,1,2,5,4,6,10,10
16,4,3,1,2,0,5,4,2,1,2,5,10,15,15,15
16,2,2,1,2,0,4,4,4,1,1,3,0,12,12,11
17,4,4,2,2,0,4,1,4,1,1,1,6,6,5,6
15,3,2,1,2,0,4,2,2,1,1,1,0,16,18,19
15,3,4,1,2,0,5,5,1,1,1,5,0,14,15,15
15,4,4,1,2,0,3,3,3,1,2,2,0,10,8,9
15,2,1,3,3,0,5,2,2,1,1,4,4,10,12,12
15,4,4,1,1,0,4,3,3,1,3,5,2,14,14,14
15,4,3,2,2,0,5,4,3,1,2,3,2,10,10,11
15,2,2,1,3,0,4,5,2,1,1,3,0,14,16,16
16,4,4,1,1,0,4,4,4,1,2,2,4,14,14,14
16,4,4,1,3,0,3,2,3,1,2,2,6,13,14,14
16,3,3,3,2,0,5,3,2,1,1,4,4,8,10,10
17,3,2,1,1,3,5,5,5,2,4,5,16,6,5,5
16,4,3,1,1,0,3,1,3,1,3,5,4,8,10,10
15,4,3,1,2,0,4,4,1,1,1,1,0,13,14,15
15,4,4,1,1,0,5,4,2,1,1,5,0,12,15,15
16,4,2,1,2,0,4,5,1,1,3,5,2,15,15,16
16,2,2,2,2,0,5,4,4,2,4,5,0,13,13,12
15,2,4,1,3,0,4,3,2,1,1,5,2,10,9,8
16,2,2,1,1,2,1,2,2,1,3,5,14,6,9,8
15,2,2,1,1,0,4,2,2,1,2,5,2,12,12,11
15,4,2,1,1,0,2,2,4,2,4,1,4,15,16,15
16,3,4,1,2,0,5,3,3,1,1,5,4,11,11,11
16,4,4,1,2,0,4,4,5,5,5,5,16,10,12,11
15,4,4,1,2,0,5,4,2,3,4,5,0,9,11,12
15,4,4,2,2,0,4,3,1,1,1,5,0,17,16,17
15,4,3,1,2,0,4,5,2,1,1,5,0,17,16,16
15,3,3,1,2,0,5,3,2,1,1,2,0,8,10,12
16,3,2,1,1,0,5,4,3,1,1,5,0,12,14,15
15,2,3,2,1,0,3,5,1,1,1,5,0,8,7,6
15,4,3,1,3,0,5,4,3,1,1,4,2,15,16,18
